ds_cargo;cd_municipio;nm_municipio;nm_regiao;nr_turno;sg_uf;nr_zona;qt_secoes_agregadas;qt_aptos_tot;qt_comparecimento;qt_votos_nom_validos;qt_votos_brancos;qt_total_vt_leg_validos;qt_total_votos_anulados;qt_votos_validos;qt_votos;qt_total_votos_nulos
Governador;02550;MANAUS;NORTE;2;AM;62;0;133757;110034;94791;5614;0;0;94791;110034;9629
Governador;02550;MANAUS;NORTE;2;AM;63;11;129347;108986;92907;5670;0;0;92907;108986;10409
Governador;02550;MANAUS;NORTE;2;AM;65;6;121661;100746;86403;5208;0;0;86403;100746;9135
Governador;02550;MANAUS;NORTE;2;AM;68;11;87614;71984;61539;3439;0;0;61539;71984;7006
Governador;02550;MANAUS;NORTE;2;AM;70;13;110267;92136;77877;5064;0;0;77877;92136;9195
Governador;02577;MANICORÉ;NORTE;2;AM;16;7;33168;24003;22701;281;0;0;22701;24003;1021
Governador;02593;MARAÃ;NORTE;2;AM;49;6;10069;5479;5141;33;0;0;5141;5479;305
Governador;02615;MAUÉS;NORTE;2;AM;5;12;36865;25681;24071;314;0;0;24071;25681;1296
Governador;02631;NHAMUNDÁ;NORTE;2;AM;43;2;14307;10740;10277;64;0;0;10277;10740;399
Governador;02658;NOVA OLINDA DO NORTE;NORTE;2;AM;35;0;19056;13441;12733;72;0;0;12733;13441;636
Governador;02674;NOVO ARIPUANÃ;NORTE;2;AM;29;5;13651;9249;8708;69;0;0;8708;9249;472
Governador;02690;PARINTINS;NORTE;2;AM;4;11;72651;52223;49062;806;0;0;49062;52223;2355
Governador;02712;PAUINI;NORTE;2;AM;44;2;11417;7408;7015;50;0;0;7015;7408;343
Governador;02739;SANTO ANTÔNIO DO IÇÁ;NORTE;2;AM;47;1;16277;12634;11915;50;0;0;11915;12634;669
Governador;02755;SÃO PAULO DE OLIVENÇA;NORTE;2;AM;22;2;18533;14832;14112;65;0;0;14112;14832;655
Governador;02771;SILVES;NORTE;2;AM;24;5;8334;6071;5749;44;0;0;5749;6071;278
Governador;02798;TAPAUÁ;NORTE;2;AM;38;1;14017;9098;8529;60;0;0;8529;9098;509
Governador;02810;TEFÉ;NORTE;2;AM;9;4;41727;32997;30830;402;0;0;30830;32997;1765
Governador;02836;SÃO GABRIEL DA CACHOEIRA;NORTE;2;AM;19;7;31982;21893;20854;167;0;0;20854;21893;872
Governador;02852;URUCARÁ;NORTE;2;AM;27;2;12257;8575;8105;110;0;0;8105;8575;360
Governador;02879;URUCURITUBA;NORTE;2;AM;3;2;13184;9236;8727;84;0;0;8727;9236;425
Governador;02895;ALVARÃES;NORTE;2;AM;60;2;11311;8433;8022;35;0;0;8022;8433;376
Governador;02917;AMATURÁ;NORTE;2;AM;22;4;6798;5381;4993;30;0;0;4993;5381;358
Governador;02933;ANAMÃ;NORTE;2;AM;6;0;8652;6019;5706;54;0;0;5706;6019;259
Governador;02950;BERURI;NORTE;2;AM;54;0;13827;8998;8473;61;0;0;8473;8998;464
Governador;02976;BOA VISTA DO RAMOS;NORTE;2;AM;5;3;12708;9244;8829;68;0;0;8829;9244;347
Governador;02992;CAAPIRANGA;NORTE;2;AM;6;0;9620;6228;5922;28;0;0;5922;6228;278
Governador;19003;RIACHÃO DO POÇO;NORDESTE;2;PB;4;1;4366;3754;3440;57;0;0;3440;3754;257
Governador;19011;ÁGUA BRANCA;NORDESTE;2;PB;74;0;7826;6147;5564;167;0;0;5564;6147;416
Governador;19020;SOBRADO;NORDESTE;2;PB;4;0;7247;6082;5638;101;0;0;5638;6082;343
Governador;19038;AGUIAR;NORDESTE;2;PB;66;0;4794;3752;3541;39;0;0;3541;3752;172
Governador;19046;SÃO JOSÉ DOS RAMOS;NORDESTE;2;PB;6;0;5537;4524;4129;87;0;0;4129;4524;308
Governador;19054;ALAGOA GRANDE;NORDESTE;2;PB;9;1;22072;17411;15525;476;0;0;15525;17411;1410
Governador;19062;CAPIM;NORDESTE;2;PB;7;0;6509;5203;4694;115;0;0;4694;5203;394
Governador;19070;ALAGOA NOVA;NORDESTE;2;PB;13;0;15997;13086;11778;245;0;0;11778;13086;1063
Governador;19089;CUITÉ DE MAMANGUAPE;NORDESTE;2;PB;7;0;7063;5524;4980;130;0;0;4980;5524;414
Governador;19097;ALAGOINHA;NORDESTE;2;PB;9;0;11574;9425;8429;322;0;0;8429;9425;674
Governador;19100;CURRAL DE CIMA;NORDESTE;2;PB;60;0;5721;4545;4128;79;0;0;4128;4545;338
Governador;19119;ALHANDRA;NORDESTE;2;PB;73;0;18762;15898;14366;329;0;0;14366;15898;1203
Governador;19127;RIACHÃO DO BACAMARTE;NORDESTE;2;PB;8;0;4475;3754;3276;100;0;0;3276;3754;378
Governador;19135;SÃO JOÃO DO RIO DO PEIXE;NORDESTE;2;PB;37;1;13897;11687;10438;393;0;0;10438;11687;856
Governador;19143;MATINHAS;NORDESTE;2;PB;13;0;4500;3646;3280;81;0;0;3280;3646;285
Governador;19151;ARAÇAGI;NORDESTE;2;PB;47;2;13941;11232;10273;236;0;0;10273;11232;723
Governador;19160;LOGRADOURO;NORDESTE;2;PB;14;0;3990;3319;2980;79;0;0;2980;3319;260
Governador;19178;ARARA;NORDESTE;2;PB;48;0;8898;6919;6177;191;0;0;6177;6919;551
Governador;19186;SERTÃOZINHO;NORDESTE;2;PB;47;0;4338;3582;3235;97;0;0;3235;3582;250
Governador;19194;ARARUNA;NORDESTE;2;PB;20;2;13639;10623;9753;164;0;0;9753;10623;706
Governador;19208;RIACHÃO;NORDESTE;2;PB;20;0;3195;2561;2397;38;0;0;2397;2561;126
Governador;19216;AREIA;NORDESTE;2;PB;11;2;18423;14978;13319;497;0;0;13319;14978;1162
Governador;19224;SÃO DOMINGOS DO CARIRI;NORDESTE;2;PB;62;0;2954;2335;2181;46;0;0;2181;2335;108
Governador;19232;AREIAL;NORDESTE;2;PB;19;1;6067;5059;4538;156;0;0;4538;5059;365
Governador;19240;CARAÚBAS;NORDESTE;2;PB;22;1;4156;3596;3270;104;0;0;3270;3596;222
Governador;19259;AROEIRAS;NORDESTE;2;PB;49;0;15642;13004;11771;357;0;0;11771;13004;876
Governador;19267;SANTO ANDRÉ;NORDESTE;2;PB;56;0;2927;2357;2173;29;0;0;2173;2357;155
Governador;19275;DAMIÃO;NORDESTE;2;PB;24;1;4542;3606;3376;46;0;0;3376;3606;184
Governador;19283;SOSSÊGO;NORDESTE;2;PB;24;0;3321;2783;2606;31;0;0;2606;2783;146
Governador;19291;BAÍA DA TRAIÇÃO;NORDESTE;2;PB;55;0;7342;6119;5574;147;0;0;5574;6119;398
Governador;19305;BARAÚNA;NORDESTE;2;PB;25;1;4469;3645;3327;81;0;0;3327;3645;237
Governador;19313;BANANEIRAS;NORDESTE;2;PB;14;0;18060;14575;13064;429;0;0;13064;14575;1082
Governador;19321;ASSUNÇÃO;NORDESTE;2;PB;27;0;4129;3230;2953;66;0;0;2953;3230;211
Governador;19330;BARRA DE SANTA ROSA;NORDESTE;2;PB;67;4;10662;8782;8119;131;0;0;8119;8782;532
Governador;19348;ZABELÊ;NORDESTE;2;PB;29;0;2378;1879;1730;33;0;0;1730;1879;116
Governador;19356;BARRA DE SÃO MIGUEL;NORDESTE;2;PB;62;0;5674;4934;4589;113;0;0;4589;4934;232
Governador;19364;CACIMBAS;NORDESTE;2;PB;30;0;6248;4600;4060;139;0;0;4060;4600;401
Governador;19372;BAYEUX;NORDESTE;2;PB;61;0;73210;63133;56738;1458;0;0;56738;63133;4937
Governador;19380;CAJAZEIRINHAS;NORDESTE;2;PB;52;0;3839;3036;2832;30;0;0;2832;3036;174
Governador;19399;BELÉM;NORDESTE;2;PB;14;1;13086;10543;9363;392;0;0;9363;10543;788
Governador;19402;SÃO BENTINHO;NORDESTE;2;PB;51;1;3793;2990;2789;44;0;0;2789;2990;157
Governador;19410;BELÉM DO BREJO DO CRUZ;NORDESTE;2;PB;38;0;6283;4880;4528;107;0;0;4528;4880;245
Governador;19429;SÃO DOMINGOS;NORDESTE;2;PB;31;0;3210;2575;2398;25;0;0;2398;2575;152
Governador;19437;BOA VENTURA;NORDESTE;2;PB;42;0;5285;3944;3638;54;0;0;3638;3944;252
